Mt,gamma,Ms,acc_tgt
10,0.1,240,0.6661971062121185
10,0.3,240,0.6621190871177208
10,0.5,240,0.6587020701441464
10,0.7,240,0.6362120504011554
10,0.9,240,0.4809663510195943
20,0.05,240,0.7050959355322989
20,0.1,240,0.7134330796755469
20,0.3,240,0.7177011445135211
20,0.5,240,0.6870988417249674
20,0.7,240,0.6390032332601037
20,0.8,240,0.5817051964679154
20,0.9,240,0.440648402519967
20,0.95,240,0.37333796348614734
30,0.1,240,0.7219848604271225
30,0.3,240,0.7064989044383163
30,0.5,240,0.6930980901519369
30,0.7,240,0.6770796447950076
30,0.9,240,0.5175118249858973
40,0.1,240,0.7322330567804111
40,0.3,240,0.7086575551109451
40,0.5,240,0.6764314190506245
40,0.7,240,0.6543721553902311
40,0.9,240,0.4997249164009885
50,0.1,240,0.7168719145801392
50,0.3,240,0.7424676082752671
50,0.5,240,0.6829332601588289
50,0.7,240,0.662963641908094
50,0.9,240,0.5139716451329029
60,0.05,240,0.7605148423884359
60,0.05,360,0.7476570537177375
60,0.05,480,0.8056821753322531
60,0.1,240,0.753457135140129
60,0.1,360,0.7757685869776219
60,0.1,480,0.7951214409631763
60,0.3,240,0.7443349824102296
60,0.3,360,0.7592770198827479
60,0.3,480,0.780455992148886
60,0.5,240,0.7127080040471441
60,0.5,360,0.7405176812081482
60,0.5,480,0.7572179929699671
60,0.7,240,0.6749179782403708
60,0.7,360,0.699650322101368
60,0.7,480,0.7114915418254313
60,0.8,240,0.6532291668335923
60,0.9,240,0.5897835480409414
60,0.9,360,0.5626138358671087
60,0.9,480,0.602161001547735
60,0.95,240,0.5225168580637486
60,0.95,360,0.528253837924063
60,0.95,480,0.48228338307452984
90,0.05,240,0.7512674307063839
90,0.05,360,0.792030523666044
90,0.05,480,0.8128050448351062
90,0.1,240,0.7603993490890005
90,0.1,360,0.7961215427624514
90,0.1,480,0.8238472549384249
90,0.3,240,0.7666131552498631
90,0.3,360,0.7966980508099315
90,0.3,480,0.7948616223364896
90,0.5,240,0.7551281576201266
90,0.5,360,0.7728285311277254
90,0.5,480,0.7889150028029782
90,0.7,240,0.7234062356321717
90,0.7,360,0.7607883945256665
90,0.7,480,0.7423907719599981
90,0.8,240,0.7270345235973937
90,0.9,240,0.669205015487633
90,0.9,360,0.6882812541353921
90,0.9,480,0.6861328733370629
90,0.95,240,0.6491488904641729
90,0.95,360,0.6172513637674382
90,0.95,480,0.6146735531143369
120,0.05,240,0.7748816066637091
120,0.05,360,0.787824679857569
120,0.05,480,0.8022979771013482
120,0.1,240,0.7665023471695778
120,0.1,360,0.7697835408180129
120,0.1,480,0.8221958240102856
120,0.3,240,0.7646170560493625
120,0.3,360,0.8044453010776568
120,0.3,480,0.8192259139387849
120,0.5,240,0.7698714024711626
120,0.5,360,0.7957942322456151
120,0.5,480,0.8177981454276674
