Ns,dcm,acc_tgt
750,0.25,0.3842165775550798
750,1.0,0.4489995414989941
750,4.0,0.44487072443589837
750,8.0,0.4144847397985692
750,16.0,0.44513916264528763
750,24.0,0.3345380181739535
750,32.0,0.3653103454870735
1500,0.25,0.400196797026479
1500,1.0,0.45761917626316173
1500,4.0,0.44673391865622225
1500,8.0,0.5173597583837054
1500,16.0,0.44797339293598587
1500,24.0,0.4537482814742949
1500,32.0,0.4491921279492848
3000,0.25,0.4854466835738561
3000,1.0,0.5619617874271211
3000,4.0,0.501534100812238
3000,8.0,0.5158112031954563
3000,16.0,0.517033368948397
3000,24.0,0.49897253346294657
3000,32.0,0.46976573097983376
4500,0.25,0.48259310262908295
4500,1.0,0.5681237172903345
4500,4.0,0.5286379883699797
4500,8.0,0.5496016999142201
4500,16.0,0.5147462212405627
4500,24.0,0.5256347406589393
4500,32.0,0.439985738865835
6000,0.25,0.5004169800261065
6000,1.0,0.6047890940529077
6000,4.0,0.591245118408817
6000,8.0,0.5723768056228073
6000,16.0,0.5268343537875463
6000,24.0,0.5574878925079643
6000,32.0,0.5271139500291839
9000,0.25,0.5776376397014238
9000,1.0,0.62000647181752
9000,4.0,0.6548573735449491
9000,8.0,0.5509450447177476
9000,16.0,0.6202832838699214
9000,24.0,0.5627402658533894
9000,32.0,0.5738069166260127
12000,0.25,0.566003894053731
12000,1.0,0.6292781384249228
12000,4.0,0.6446809198903668
12000,8.0,0.6332448046560122
12000,16.0,0.6136752866842751
12000,24.0,0.5472943741350564
12000,32.0,0.5498197261468187
24000,0.25,0.6065911940014657
24000,1.0,0.6607760335643442
24000,4.0,0.6374791818936731
24000,8.0,0.5670432936328815
