Ns,layer,acc_tgt
750,3,0.45533440637037426
750,5,0.44806022905417653
750,7,0.29620367452890256
750,9,0.21265739220717425
1500,3,0.48979155187019746
1500,5,0.4730242892320885
1500,7,0.42780271762823663
1500,9,0.23549646526850537
6000,3,0.724638141479793
6000,5,0.7098947486826125
6000,7,0.4505780010318658
6000,9,0.3455406494240239
12000,3,0.7460835059746606
12000,5,0.714627836040351
12000,7,0.554694391013717
12000,9,0.3726235424108502
24000,3,0.7404670127206204
24000,5,0.7313729340353392
24000,7,0.5639093462435214
24000,9,0.35410805189341893
